c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
771,Customer#000000771,"J9UMiYJznHVHZDuCG,ErV0iiMStETS",23,33-761-371-4753,7461.74,AUTOMOBILE,"arefully unusual accounts shall boost unusual pinto beans. ironic, final ideas boost. slyly i"
772,Customer#000000772,TBxlR0AAHeSYl0vyK 8joF,20,30-405-614-4887,7555.16,MACHINERY,"ular requests. final ideas sleep. regular, even platelets could haggle blithely bol"
773,Customer#000000773,NyRSeog kIkD7YOb0EuSfSGxfptN5nkX26Mk6,8,18-456-377-3723,4578.24,FURNITURE,hely silent ideas could doubt carefully al
774,Customer#000000774,95 O8gd08tdtmJwM0ebHUnDc,11,21-463-652-6686,-506.37,HOUSEHOLD,nd the bold platelets affix furiously doggedly express accounts. carefully unusual deposits serve furiousl
775,Customer#000000775,Cg3M4gTXeIY7llMN2puop7D2,17,27-903-936-7924,1376.67,BUILDING,"ts. blithely regular requests upon the ironic, final courts haggle sly, regular deposits. final requests "
776,Customer#000000776,"rzhIStRHsiWoc6K,7yv3YMqVdrz",15,25-941-650-8313,2669.01,AUTOMOBILE, express accounts. furiously ironic theodolites serve blithely. blithely thin packages are among the eve
777,Customer#000000777,27adTXaVp7araW,20,30-765-163-9750,9097.52,AUTOMOBILE,pinto beans; furiously special platelets haggle quickly against the slyly unusual foxes. 
778,Customer#000000778,tCuRA2W9y5iiGrcT7a4TzK,23,33-702-179-3134,52.43,MACHINERY,"hely ironic instructions. regular, ironic requests affix along the carefully "
779,Customer#000000779,"2cTZiS4ulZ74edT,RmDnh4ZaCrphMMh Ff2",5,15-940-483-5702,-902.48,HOUSEHOLD,old dependencies. pains haggle fluffily carefull
780,Customer#000000780,CMxcdzgEUkCWP1,8,18-844-576-7345,9874.12,FURNITURE,", final packages use slyly regular deposits. slyly ironic instructions nag careful"
781,Customer#000000781,"FQCAkyfV0 kL3,FNA1OlBjABak",18,28-478-388-5881,6403.62,MACHINERY,ake blithely blithely final foxes. blithely silent pinto beans haggle furiously. fluffily bold acco
782,Customer#000000782,HFuyemzqz0g QhkL,19,29-850-576-7450,-326.32,AUTOMOBILE,usly bold deposits-- furiously ironic accoun
783,Customer#000000783,01bR7OOM6zPqo29DpAq,1,11-920-256-8525,2436.32,FURNITURE, slyly carefully pending packages; doggedly bold theodolites boost slyly slyly dogged excuses: slyly expr
784,Customer#000000784,"evcGXqbosO6,qhx",14,24-975-574-2063,3170.47,BUILDING,cajole quickly. ironic dependencies wake quickly. silent ideas use furiously 
785,Customer#000000785,gEkI8kSq8RYgO6tiTA0AB7urZX8s2w03JGwtMi9,18,28-808-670-2983,108.14,BUILDING,"nal theodolites. dogged, ironic deposits wake carefully. slyly regular requests after the furiously ironic "
786,Customer#000000786,"viZtkiJ gbMcPrINM3Ez,33vOJW",13,23-413-365-2022,400.03,MACHINERY,ccording to the regular deposits. carefully final packages run. slyly final deposits h
787,Customer#000000787,wwPe2vMZZ1n1Mm2z0qzDfS43FPj2Ndn,10,20-210-617-3870,212.16,AUTOMOBILE,e. ironic theodolites serve regular foxes. pending requests haggle slyly busy instruct
788,Customer#000000788,LbFHoDpNUSu3AyDS7KLgjoQBJV,16,26-388-689-9272,-330.69,FURNITURE,. unusual packages against the 
789,Customer#000000789,DW0NMV Ci5V2bnsX0Al98plG1J0QZqNwcjEVW,9,19-176-517-4263,6038.6,BUILDING,as. quickly special courts integrate slowly final accounts. ironic packages are slyly about th
790,Customer#000000790,CR bzmYYVP,0,10-368-832-9671,2724.98,BUILDING,riously final requests haggle to the blithely special requests. blithely pending gifts after the carefully silent id
791,Customer#000000791,3ZWQ5xexnnLDEmxpmbg,13,23-575-775-4059,3694.81,HOUSEHOLD,posits cajole carefully along the slyly final packages
792,Customer#000000792,"icVt7HjGs,p3YL3nr1MHgaQIY5Gmzej57nB,b",7,17-392-500-4370,1672.46,AUTOMOBILE,latelets along the carefully even packages cajole blithely packages-- even pinto beans haggle 
793,Customer#000000793," SltK1IMp2Xvwb,A0x3Co1uhcwr",0,10-404-953-9048,2072.99,BUILDING,uickly silent foxes use after the
794,Customer#000000794,RMY8 LyGnJ67NGc5cxPYiIDSF,23,33-633-470-5945,1709.5,FURNITURE,gular patterns cajole slyly blithely final ideas? furiously unusual courts wake among 
795,Customer#000000795,droXvSIcNEElsEYS,14,24-973-990-6608,8443.18,HOUSEHOLD,packages cajole furiously since the slyly
796,Customer#000000796,79bj5Rk3jJj9ked7M,3,13-554-411-6773,2584.23,HOUSEHOLD,re slyly even deposits. pending pac
797,Customer#000000797,bdGkzA5duas6LZ1ywB96K6Av3x 99q95h,0,10-994-609-7082,3063.11,HOUSEHOLD,"iously regular packages mold fluffily. express, idle accounts nag furiously across the carefully ironic req"
798,Customer#000000798,wW2OgnHj6dBz tO9OXFqCLm,4,14-670-423-7529,-391.13,HOUSEHOLD,"sleep slyly ironic, express ideas. slyly special packag"
799,Customer#000000799,LVk8ljWeIYTQQFMKCmxEeRpWQT,12,22-909-693-7833,2263.25,MACHINERY,ets haggle. busily final packages nag carefully after the bo
800,Customer#000000800,"mpI6pkdnWLZsBbQi4,uUC5Y3TcM9vmRIgZelrQ",14,24-555-630-2261,9443.39,AUTOMOBILE,ly alongside of the carefully ironic deposits. blithely ironic packages are blithely agains
801,Customer#000000801,UQ67hfDJlxgX68hiFPmDuHav12Vx,16,26-439-495-8236,5207.32,FURNITURE,sits wake blithely according to the slyly un
802,Customer#000000802,ZDk4Suvi8gMp2LLAOW6nFA 3u,0,10-606-236-5778,1377.52,BUILDING,the carefully even pinto beans. carefully unusual pinto beans against the asymptotes cajol
803,Customer#000000803,zm7Xs6RJJJfZ,18,28-855-429-9109,6003.09,BUILDING,. blithely special instructions
804,Customer#000000804,"u6xYwCLD,Vd4ODt8",24,34-861-760-4796,3.43,AUTOMOBILE,usly. final accounts integrate slyly above the furiously sly pinto beans. furiously unusual ideas 
805,Customer#000000805,"wCKx5zcHvwpSffyc9qfi9dvqcm9LT,cLAG",10,20-732-989-5653,511.69,BUILDING,busy sentiments. pending packages haggle among the express requests-- slyly regular excuses above the slyl
806,Customer#000000806,FTM62Dujm2BoblKFY w,12,22-888-883-2475,6859.28,FURNITURE,the carefully regular accounts breach above 
807,Customer#000000807,zKjtrn5FGIs,17,27-333-779-5333,1929.89,MACHINERY,y final patterns? carefully pendi
808,Customer#000000808,S2WkSKCGtnbhcFOp6MWcuB3rzFlFemVNrg ,19,29-531-319-7726,5561.93,BUILDING, unusual deposits. furiously even packages against the furiously even ac
809,Customer#000000809,eApaa5hW3Mqp11ZuOP,16,26-776-223-5427,-594.23,HOUSEHOLD,ackages. quickly unusual dugouts c
810,Customer#000000810,3J1wwVhwzVT7XM1v3Rzx90a8c4,9,19-997-929-2765,9632.77,FURNITURE,ep pending deposits. quickly bold accounts are carefully instructions. ruth
811,Customer#000000811,Rau3ADOLCNXM42D6fjQTFuueQce2BHw9r,15,25-575-731-2159,9010.02,BUILDING,kly pending foxes dazzle fluffily after the furiously bold packages. fluffy
812,Customer#000000812,"u9uI3BE68quHja6k0,UXRYFgvLHl3jKhn",17,27-714-618-2239,3428.67,BUILDING,ar packages. packages thrash amo
813,Customer#000000813,VBNrCYm67O,9,19-585-173-1514,5673.47,HOUSEHOLD,ts cajole silently bold pinto be
814,Customer#000000814,KmMC1nd5iOXTRlhzMu13Wtx,15,25-342-269-3824,4011.18,BUILDING,yly at the blithely regular excuses. carefully thin pinto beans boost slyly furiously regu
815,Customer#000000815,TmpTFwt3b0 WQUmljE1LKbg50dtQszn67qEog,12,22-941-606-7227,5841.33,HOUSEHOLD,"unusual accounts. slyly ironic pinto beans nag against the regular, regular requests. slyly p"
816,Customer#000000816,k2dnnQZowe,24,34-457-910-7430,9239.32,BUILDING,accounts cajole slyly quickly express platelets. carefully silent theodolites wake carefully. pe
817,Customer#000000817,"jDJt0Wfk0,Wcx5HOI5itS XqUJmMpjzJ",0,10-566-341-4382,7297.64,MACHINERY,y against the carefully special patterns. unusual accounts sleep quickly final instructions. 
818,Customer#000000818,CvQvKClYoh9lPjMngrjbCoxqqnp2QFiTe8eF,20,30-943-141-5174,-574.39,BUILDING,"yly. blithely final platelets haggle regular, regular ideas: furiously r"
819,Customer#000000819,"cug3zDy qHUaZMQNEtYlWK3R,mGrid4Of",12,22-424-990-1743,2152.05,MACHINERY,y final accounts sleep slyly express ideas. carefully express foxes sleep. carefully stealthy pin
820,Customer#000000820,xsYy3Nu7RhNYyBqL8dD0fONh,4,14-993-368-5047,-614.28,AUTOMOBILE,"g, final ideas. slyly ironic packages dazz"
821,Customer#000000821,PVdTfF7cfPueJS0MBncE5v4bKfPV64Zg,5,15-901-460-2033,2691.42,FURNITURE,wake carefully. slyly express deposits wake furiously among the fluffily final deposits. pa
822,Customer#000000822,"ZoRr18ZiDTtkRduo6PO60gNRg,b46zOe QdS8B",13,23-410-801-1644,736.47,BUILDING,ding dependencies hang alongs
823,Customer#000000823,HuoOuJLxx7S8YDQhexfmIX,0,10-109-430-5638,738.79,AUTOMOBILE,l requests are against the slyly ironic pinto beans. blithely unusual packages wake alongsid
824,Customer#000000824,"qHxq5m g6Ug,SDq7R17",18,28-454-124-5859,6840.29,AUTOMOBILE,ffily unusual packages. furiously final ideas 
825,Customer#000000825,"L8P98o,xq9E78kmuadw,Z7Rwy",10,20-492-863-1129,1809.01,HOUSEHOLD," busy deposits. careful, bold foxes eat furiously according to the final as"
826,Customer#000000826,f5Y UZoE nR,13,23-762-328-7631,8938.14,BUILDING,"usly final dinos. final depths wake slyly across the final, bold requests. bl"
827,Customer#000000827,fmmKD8aBlF9bFndkYf402cHVrUj8FhGZtHeL,14,24-196-343-6537,5411.2,HOUSEHOLD,om the carefully even requests are slowly along the regular 
828,Customer#000000828,"0PkG ELwBIgU4AsNcjDc5Q,9Gj",23,33-108-680-4317,7059.68,BUILDING,cial instructions. accounts nod special accounts. slowly even deposits belie
829,Customer#000000829,"4oht3f64ZWA1,ACbBP9DNxjjG1CbIqOCK",8,18-404-707-6095,4086.56,MACHINERY,"deposits cajole slyly ironic, express packages. asymptotes cajole ruthlessly "
830,Customer#000000830,4fNmWCmfys1jUI,23,33-408-548-6806,7775.65,AUTOMOBILE,ironic packages integrate alo
831,Customer#000000831,1DyQwHuUncB7BSnQUiW8ksexb,20,30-495-591-5384,3401.49,AUTOMOBILE,c instructions. fluffily bold requests are furiously quickly ironic deposits. carefully 
832,Customer#000000832,eNIy9PatAWlh0,19,29-264-864-8387,-201.49,HOUSEHOLD,the special ideas. finally ironic accounts doubt. slyly regular ideas
833,Customer#000000833,"t3qDCo,Yh MZcJFV6PibeY,MUunz",6,16-624-307-4875,-526.14,FURNITURE,uickly final orbits across the blithely express accounts integrate furiously among the final sheaves. blithe
834,Customer#000000834,"y4mA, TY6DW4gAY",14,24-637-803-7812,-976.25,MACHINERY,regular dolphins. furiously careful ideas eat beyond the bravely regular packages. slyly unusual deposi
835,Customer#000000835,Sjqs42jh111,21,31-700-242-6347,2106.81,BUILDING,"gside of the furiously final packages wake quiet, permanent accounts. unusual packages into the unusual, ironic req"
836,Customer#000000836,rayz3tXswDbL4hyIr5SMrEIOTqvmok48e,12,22-181-313-6281,9184.72,FURNITURE,press deposits-- fluffily express accounts cajole carefully according to the daringly even deposits-- furi
837,Customer#000000837,mMNC8wjT5aC655e3,9,19-572-730-8324,2701.29,BUILDING,"he bold, pending theodolites. special, bold accounts haggle. blithely regular ideas nag fluffily regular packages"
838,Customer#000000838,BxDlz44b56kXjsTpl,5,15-919-192-7197,1605.76,AUTOMOBILE,elets. never express accounts haggle slyly. depths along the requests haggle bl
839,Customer#000000839,Ch8 wZk5UKK45BSq1uZLJL0Z A8UUoms,22,32-435-825-7973,2924.78,HOUSEHOLD, close accounts. unusual pinto beans sleep quickly slyly bold instructions. blithely unusu
840,Customer#000000840,9wA4l70okCEW3GnYQvlIAXetDgD50l,22,32-802-156-1748,6799.0,AUTOMOBILE,usly according to the slyly regular pinto beans. blithely regula
841,Customer#000000841,pSISKRxFIgVasW71fLyaEuODHZQLBfd6E c7jo,9,19-556-695-9964,884.2,FURNITURE,ly. slyly special instructions wake. carefully even accounts sleep quickly slyly silent deposits. s
842,Customer#000000842,stRBRwdFCkdN,0,10-272-126-1413,8635.49,FURNITURE," silent pinto beans. bold, pending platelets sleep furiously express theodolites. fluffily express reque"
843,Customer#000000843,OEJ7AElvHgEtDpjcrXgLK,14,24-979-584-7928,675.73,HOUSEHOLD,ronic somas. accounts was among the carefully unusual requests. unusual pinto beans are blithely regular depths. s
844,Customer#000000844,1nUzjsH9HS1sPAGLwDIom9IESivLeEh1BvyynjU,11,21-285-410-4046,2954.9,BUILDING,"ymptotes. ironic, unusual notornis wake after the ironic, special deposits. blithely fina"
845,Customer#000000845,fIq5p0GpDtw6FIsPMdbqNYgfSw3gL9ep,13,23-125-871-9246,6898.89,AUTOMOBILE,deposits above the deposits wake bold instructions. special accounts cajole. ideas along the regu
846,Customer#000000846,EWQcGkx0CU5ZGUNcTV9bBCQ4qnuKsHC,18,28-766-714-9136,7650.73,MACHINERY,"s. quickly thin requests against the ironic, bold requests haggle above the final foxe"
847,Customer#000000847,oR9VbMI LkR2GUv4MRmylhb,23,33-645-447-3944,4822.08,HOUSEHOLD,"haggle carefully. pending, bold foxes play carefully ironic frets: slyly unusual ins"
848,Customer#000000848,a nIm5Bk7 RMqMZ6,15,25-655-714-7125,5685.59,BUILDING,st furiously blithely pending packages. deposits across the 
849,Customer#000000849,"kqRGW2JQtTM,a6 DzJMgcU9U",24,34-718-798-7751,9670.64,MACHINERY,ly silent ideas. fluffily even packages boost carefully fur
850,Customer#000000850,GdhPVh9rkPqSt v17ZuxIlx8c1N8G,22,32-546-203-4000,7576.55,FURNITURE,ly ironic accounts whithout the regular waters are blithely abo
851,Customer#000000851,H9HRTaOz4yI9elrUUiS,9,19-678-843-9850,1144.23,FURNITURE,cross the final packages. blithely ironic excuses serve slyly about the final accounts. fluffily
852,Customer#000000852,"fR1Cq8d6m,zJwS3FFrOBV7u",5,15-252-941-6247,1098.98,AUTOMOBILE,"unts thrash quickly through the express, regular theodolites."
853,Customer#000000853,U0 9PrwAgWK8AE0GHmnCGtH9BTexWWv87k,2,12-869-161-3468,-444.73,MACHINERY,yly special deposits wake alongside of
854,Customer#000000854,"flSR,SlEXwxrDcm3uedfK1Oiq,c9mZI",0,10-544-967-2382,3393.86,AUTOMOBILE,t slyly after the furiously even escapades. carefully regular pa
855,Customer#000000855,i8mS 0Plk2tI8HG1Mnzj8v5RIl5JqmwTSW2Wq,1,11-379-392-2701,3550.49,BUILDING,"s. carefully final deposits detect furiously slyly even packages. final, special accounts eat along "
856,Customer#000000856,X4U7LH4YtDzephie,15,25-336-316-9641,6988.55,FURNITURE,y bold pinto beans according to the pending foxes 
857,Customer#000000857,TFCCMlSEyrItYvEZy068NhrUxJz,5,15-856-649-3113,7537.16,AUTOMOBILE,g to the deposits cajole furiously final deposits. furiously silent dependencies agains
858,Customer#000000858,"8qSqHq,Fc378KIPPbTNmaL 0bpAwO",8,18-509-453-8977,-829.37,BUILDING,", special accounts. ironic, pending requests might cajole flu"
859,Customer#000000859,yp6dlWnpbzQboP5Xj8W,17,27-379-135-4463,6737.18,BUILDING,uffy foxes boost about the eve
860,Customer#000000860,t0GtEsh39KvInVMH7CDn0xi,12,22-895-319-1388,6836.89,BUILDING, deposits above the blithe requests maintain furiously slyly even packages. slyly regular requests boost. blith
861,Customer#000000861,GvlCZ4fJYbHTOTYczE1iH2k6K9edUyNxWZsl6x,14,24-939-734-5650,-336.8,BUILDING,arefully regular requests unwind slyly 
862,Customer#000000862,"zkaZ,iOp8t9MBK9T,JIPGL5hmBmK,xjkjHEP",2,12-479-479-6941,2338.92,MACHINERY,yly regular foxes sleep. quickly ironic foxes use furiously express deposits! carefully regular
863,Customer#000000863, oaBBxuQLKPawG1yqOc7cyVhOezCy,3,13-801-392-5922,5274.52,AUTOMOBILE,d accounts detect. bold pinto beans against the slyly ironic
864,Customer#000000864,"lKcUKtfu0myNF5msATCFVHHXfMg3,cdb",12,22-897-966-6672,8932.76,AUTOMOBILE, instructions detect slyly. never pending dependencies use slyly enticing accounts. slowl
865,Customer#000000865,UIv4t5cbA7j1ftOSatj2EKah3p,9,19-245-153-1471,3016.38,BUILDING,"nic deposits print blithely slyly final accounts. special, express accounts are fluffily a"
866,Customer#000000866,"u,b0GdP7dZg",20,30-436-285-7224,6265.88,FURNITURE,ts. bravely express pinto beans after the blithely bold requests x-ray busy orbits. furiously pending 
867,Customer#000000867,KmET9DxfPVs15pIUUWQ,14,24-522-194-4543,5680.23,FURNITURE,t according to the careful packages. regular 
868,Customer#000000868,cFG8Fa5h1e uvHJ9pgZAO,22,32-850-421-3334,7616.48,FURNITURE,the requests. regular dinos at the even requests use furiously around the sheaves. slyly final theodolites bo
869,Customer#000000869,"PDGU7BXDNXAo0vmo7QtDm,yCMVcD",2,12-379-344-7132,1228.06,HOUSEHOLD,. final packages wake slyly? blithely even deposits haggle carefully regular packages. unusual requests
870,Customer#000000870,6wGPZX1SbXLGtweqx8jK,2,12-953-532-5903,1970.76,BUILDING,"es cajole slyly. furiously even asymptotes are furiously regular packages. special, final ideas s"
871,Customer#000000871,KcLmBKitbx7NvU7bpu9clIyccxWG,20,30-933-714-8982,-395.89,HOUSEHOLD,ts. blithely silent courts doze. regular atta
872,Customer#000000872,"vLP7iNZBK4B,HANFTKabVI3AO Y9O8H",17,27-357-139-7164,-858.61,BUILDING, detect. packages wake slyly express foxes. even deposits ru
873,Customer#000000873,XFnr9C2bANXL,6,16-375-385-5712,-797.38,AUTOMOBILE,"lithely ironic, silent forges. furious"
874,Customer#000000874,rdo knkGhtvpH6dbLkQon8QsrK1z4LFUpaVDTOn2,0,10-886-494-4217,5391.74,AUTOMOBILE,st the deposits. furiously even requests cajole slyly. bol
875,Customer#000000875,8pQ4YUYox0d,3,13-146-810-5423,-949.28,FURNITURE,ar theodolites snooze slyly. furiously express packages cajole blithely around the carefully r
876,Customer#000000876,"NMzgtdV zCuRIMK0vV,DP9ynDd6Z9X3T",20,30-320-481-3076,4367.63,MACHINERY,ronic requests haggle blithely. slowly ironic ideas against the fluffily 
877,Customer#000000877,uYO2BKogrHcOcHEgzjlmZAa1QYyR45i8,16,26-400-912-7812,1755.33,MACHINERY,packages cajole carefully. slyly regular pinto beans bo
878,Customer#000000878,"hUCH2juGwk4OtThyY8p35Hi0,IfOGA",15,25-465-180-9022,8781.53,FURNITURE,the quickly pending deposits cajole care
879,Customer#000000879,EJcG18hFrS0SPT0yvl1b,2,12-878-466-6505,2235.2,HOUSEHOLD,ntegrate by the carefully special requests. dolphins sleep e
880,Customer#000000880,"ogwHmUUFa1QB69pAoYAAoB0rjbdsVpAQ552e5Q,",8,18-763-990-8618,-77.63,FURNITURE,regular requests. regular deposits ar
881,Customer#000000881,XJ94RTR2oXI omeh,4,14-127-261-7876,2141.71,FURNITURE,pinto beans. asymptotes about the slowly even theodolites are pending requests
882,Customer#000000882,hsKaXwHCLD,2,12-437-842-6799,1650.12,HOUSEHOLD,ts. quickly regular packages alongside of the furiously silent theodolites nag slyly after
883,Customer#000000883,qVQ8rWNU5KZYDcS,3,13-526-239-6950,479.96,FURNITURE,"uctions are carefully across the regular, regular asymptote"
884,Customer#000000884,5KyisO0Tv9ZtlJhzyI7vAe88,21,31-483-489-6172,1601.6,FURNITURE," among the quickly express theodolites. accounts sleep furiously along the special, pending depende"
885,Customer#000000885,nNUbC73nPBCKLg0,5,15-874-471-4903,-959.94,HOUSEHOLD,sits impress regular deposits. slyly silent excuses grow 
886,Customer#000000886,QOTGbGPJjNPD7IrfAILA1da,12,22-771-691-7229,1194.33,AUTOMOBILE,"slyly even foxes according to the pending, special accounts use carefully against the courts. regular,"
887,Customer#000000887,CoInl1fmf5MjYn15AdA,1,11-136-651-8293,7009.42,MACHINERY,ording to the fluffily regular foxes nag fluffily instructions. thinly careful accounts around the furio
888,Customer#000000888,3vlJp0W8cniEXV,12,22-855-455-1154,6358.04,HOUSEHOLD,"sleep carefully quick pinto beans. packages hinder beneath the instructions? ironic, unusual theodoli"
889,Customer#000000889,pLvfd7drswfAcH8oh2seEct,13,23-625-369-6714,3635.35,FURNITURE,inal ideas. slowly pending frays are. fluff
890,Customer#000000890,"rvsLCrRX9z,IPaaF9kqwvLLxueobbPiH4pz",4,14-938-708-4678,3329.21,BUILDING,ironic accounts cajole ruthlessly above the carefully pending accounts. quickly regular theodolites cajole. iro
891,Customer#000000891,"AW0m6YSpe,BNPHvBj",11,21-439-958-7518,6032.18,FURNITURE,sits. final foxes run. quickly pendin
892,Customer#000000892,N KwiRAwIk6KL9WJ6vt0G,9,19-589-784-1249,4799.98,FURNITURE,ses are carefully. quickly regular theodolites cajole. carefully express accounts wake sly
893,Customer#000000893,W6m7LofOZoik72ku,13,23-827-724-6816,8250.87,BUILDING,"ets. ironic instructions nag even, regular courts. slyly iro"
894,Customer#000000894,5y7m8Ts4kDf,16,26-844-679-1540,4483.42,AUTOMOBILE,carefully regular accounts sleep carefully slyly ironic dependencies. blithely ironic accounts wa
895,Customer#000000895,MDaJr8ekGTS79bS7CH8f1WgWPU,0,10-933-819-2037,904.43,AUTOMOBILE,ggle final packages. slyly regular instructions affix fur
896,Customer#000000896,Tu1ZBNgiSEL9Ns,0,10-425-565-3199,7659.72,AUTOMOBILE,affix carefully unusual requests. furiously fin
897,Customer#000000897,nW1X1Hl9uWycuBEu3F3,6,16-988-776-4568,1999.42,MACHINERY,"riously regular ideas sleep into the final, unusual"
898,Customer#000000898,"JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR",3,13-265-738-4361,8137.24,AUTOMOBILE,s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final
899,Customer#000000899,Th5XO5ImeCe9nHFQfQMCkNcmf5WHSeYQaR5TJ,2,12-594-534-9654,8605.53,FURNITURE,"rding to the furiously unusual accounts. express, express accounts nag furiously. ide"
900,Customer#000000900,"kEhE1Y,OoZTDv,Auh d5G ALINN0rND",1,11-422-328-1612,3195.39,BUILDING, packages sleep slyly around the quickly special packages. final accounts are furiously. bol
901,Customer#000000901,QUyXt94YM6Ou6rDqK,12,22-202-667-4372,938.35,HOUSEHOLD, foxes maintain. theodolites sleep above the regular deposits. slyly bold excuses boost careful
902,Customer#000000902,A1hnMyYPSkXf7QgOPD2H,4,14-209-883-5797,5858.48,AUTOMOBILE, sometimes regular epitaphs. furiously regular gifts against
903,Customer#000000903,"URTiQupkhObWG39,kZ3CfU",7,17-706-779-2078,509.23,FURNITURE,"kly doggedly even instructions. regular, regular accounts along the even, bold packa"
904,Customer#000000904,YdJEbNygDU6DrgWXQY6orasq,5,15-940-929-4572,9562.82,BUILDING,nic dolphins alongside of the slyly final ideas run
905,Customer#000000905,f iyVEgCU2lZZPCebx5bGp5,3,13-803-156-2231,-600.73,BUILDING,slyly closely ironic dolphins. blithely ironic asymptotes haggle carefully ironic theodolites. furiously
906,Customer#000000906,1Uavkms1A5z,6,16-594-569-6627,-613.45,HOUSEHOLD, accounts. furiously silent ins
907,Customer#000000907,UeVLwnnpccsG1pbQmN7pzD,10,20-501-816-7673,5751.31,HOUSEHOLD,sits haggle quickly above the excuses. slyly ironic packages print furiously. carefully pending reques
908,Customer#000000908,Fa5bchMKUMsaNKOXAiu9pX  ME,12,22-814-669-9320,3215.96,AUTOMOBILE,quickly express packages. blithely fina
909,Customer#000000909,b 2X284A5AGpt8skuYwMvTyK68srMKikPst6X,24,34-717-350-9722,5565.58,MACHINERY,"se carefully around the special, regular requests. ironic theodolites cajole quickly theodolites. regular, ev"
910,Customer#000000910,Qg8TJTCT1mJ9H,9,19-899-463-4292,5794.69,BUILDING,uctions. silent requests after the regular theodolites haggle furiously across the ca
911,Customer#000000911,"VS0fia,lJ RvUf68 l4Unv,Vx",13,23-121-746-7339,6364.6,BUILDING,gular foxes! permanently regular packages wake. quickly regular deposits detect blithely. carefully express
912,Customer#000000912,dQA12NEPQK1A5mvD,14,24-348-437-3105,3861.36,FURNITURE,sits use slyly carefully final dependen
913,Customer#000000913,aohNRUjsMbBNE1Ax,14,24-500-946-3315,6935.16,FURNITURE,y blithely final dugouts. accounts wake accounts. asymptotes above the even 
914,Customer#000000914, LErnJFeOuDeMgvVzPKHS,5,15-915-758-7313,1230.79,MACHINERY,"accounts. slyly final attainments boost slyly express, pen"
915,Customer#000000915,"mtGezp1BRzcfPVl,1,G8Wl",0,10-452-398-2445,3776.53,AUTOMOBILE,r ideas. final dependencies haggle fluffily. express ideas behin
916,Customer#000000916,9Zo7nkmzJla4Q4PE5mbw,23,33-511-587-8754,130.59,MACHINERY,sual ideas cajole carefully ironic excuses. final platelets use slyly. quickly special instructions nag. bold escapa
917,Customer#000000917,"KZ TS0omSFmUQkIOmzlXhwQS,OcF3wzz5",1,11-100-917-5264,3679.65,HOUSEHOLD,arefully fluffy pinto beans. enticingly silent requests affix furiously busily regular ide
918,Customer#000000918,WSptkDdGQQyJ6,19,29-992-318-6425,-155.06,MACHINERY,s boost furiously slyly final dependencies! fluffily regular sheaves nag fluffily. slyly even courts sleep sl
919,Customer#000000919,cHGtsqVvXRiK,9,19-537-180-2200,9774.97,MACHINERY,lar instructions. blithely final deposits haggle furiously bold pinto bean
920,Customer#000000920,oDBFWKIP6M6OlYRPmqCBkVpVSj6uFa,2,12-905-464-3299,990.58,HOUSEHOLD,". ironic, pending frets haggle carefully. ironic,"
921,Customer#000000921,XYBVDdDifSYrW gUeDPhITqMjpjtbnc,8,18-765-936-2316,3651.09,HOUSEHOLD,g the furiously unusual theodolites are carefully accounts. slyl
922,Customer#000000922,Az9RFaut7NkPnc5zSD2PwHgVwr4jRzq,7,17-945-916-9648,3869.25,BUILDING,luffily fluffy deposits. packages c
923,Customer#000000923,ckBLWkfYtn2VZXWWqUGbDgbP,11,21-476-142-5086,7462.2,HOUSEHOLD,"s. furiously express depths boost. regular requests boost furiously. even, unusual deposits cajole blithely. expre"
924,Customer#000000924,yKEtokQYXiuSSh8ZP5,15,25-518-232-9865,4212.53,BUILDING,ake slyly furiously even deposits. express pinto beans are carefully quic
925,Customer#000000925,jn Razhw70hWtHN4iRBWsf1UmrFUPn36Ni562ex,10,20-753-609-6699,1939.39,AUTOMOBILE,"ironic accounts cajole carefully. even, expre"
926,Customer#000000926, 3b8K2YhfbGDJOpSAUrvq82MnkhHBdwL,16,26-783-803-1329,274.5,AUTOMOBILE,ly quickly unusual foxes. fluffily regular ideas among the regular plat
927,Customer#000000927,"Uy7xvOwo4Ndha1tSxDKrQ gXUTdS ,YDqwE2YSO",17,27-332-891-1391,2417.65,MACHINERY,"es affix quickly carefully regular platelets. slyly special theodolites would sleep furiously after the special, "
928,Customer#000000928,A9 UduEb48ffOe27FxMXF,21,31-508-509-6393,8330.7,HOUSEHOLD, instructions cajole fluffily alongside of the blithely regular re
929,Customer#000000929,c dPfaAmmoLjR3m,23,33-487-459-1026,4079.18,MACHINERY,ously silent foxes cajole slyly pe
930,Customer#000000930,84jHYR8u2XvhyT,19,29-562-904-5451,4787.2,FURNITURE,sual ideas according to the furiously regul
931,Customer#000000931,"M,lWVafqdRIO, WnAyLLt",0,10-349-498-1720,2409.69,BUILDING,s the carefully regular packages: pending
932,Customer#000000932,HN9Ap0NsJG7Mb8O,13,23-300-708-7927,6553.37,BUILDING,packages boost slyly along the furiously express foxes. ev
933,Customer#000000933,V0SPv2VbrNo7Pj,14,24-623-803-8018,8541.16,MACHINERY, accounts haggle quickly against the blithely even accounts. deposits sleep blithely quickly p
